,Rows,"Угол нашивки, град",Плотность нашивки,"Угол нашивки, град-Плотность нашивки"
"Соотношение матрица-наполнитель-Плотность, кг/м3-Прочность при растяжении, МПа-Шаг нашивки",,-0.0401025453213697,-0.04656886915253189,-0.04333570723695179
"Соотношение матрица-наполнитель-Плотность, кг/м3-Потребление смолы, г/м2-Шаг нашивки",,-0.10228081954871926,-0.02565279602190995,-0.06396680778531438
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.0965296004666083,-0.022421695074426484,-0.05947564777051806
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.09555297835832532,-0.0140788486185357,-0.05481591348843129
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.030661864941301076,-0.07279711028392111,-0.05172948761261187
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа",,-0.08372499949134271,-0.013799723686679366,-0.048762361589011816
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Количество отвердителя, м.%-Прочность при растяжении, МПа",,-0.07938445678786277,0.034594244290670595,-0.02239510624859692
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.04248984380828347,-0.06402058052997339,-0.05325521216912943
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Количество отвердителя, м.%-Шаг нашивки",,-0.09077838138449734,-0.0004784473384304988,-0.04562841436146514
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.15067787069252003,-0.08471991701790227,-0.11769889385521148
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.06538620656914018,-0.03893945192944703,-0.05216282924929405
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа",,-0.08687189295136588,-0.06646682413005922,-0.07666935854071233
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа",,-0.14112867674486407,-0.05129016780272422,-0.09620942227379481
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.04715592721452477,-0.08531867846504193,-0.06623730283978413
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.15469287269323906,-0.028334018510450587,-0.09151344560184571
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.07678013116577476,-0.045898976975898176,-0.06133955407083713
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.06516917943396616,-0.026718788949610994,-0.045943984191789466
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.19929194897149483,-0.028697120401601994,-0.11399453468654885
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.09794027684523932,-0.0824030365285442,-0.09017165668689253
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Температура вспышки, С_2-Шаг нашивки",,-0.15425881842289102,-0.04394266951836423,-0.0991007439706274
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.07743121257129681,-0.05028897493350781,-0.06386009375240276
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.1258282637150976,-0.0598844759202497,-0.09285636981767365
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.09088689495208446,-0.03805878769298898,-0.0644728413225375
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Поверхностная плотность, г/м2-Шаг нашивки",,-0.07385026484092583,-0.008661113908573936,-0.04125568937475099
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.10238933311630616,-0.10613069508411188,-0.10426001410020957
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.10759798436048196,-0.06537839192105444,-0.0864881881407693
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.0884995964651707,-0.08893022463438816,-0.0887149105497802
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.08133770100442872,-0.017780807052522274,-0.04955925402847583
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Прочность при растяжении, МПа-Шаг нашивки",,-0.16923369074989658,-0.023736822665485713,-0.09648525670769159
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Потребление смолы, г/м2-Шаг нашивки",,-0.07797378040923175,-0.09373665532226316,-0.08585521786574835
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.1747678826968333,-0.12597584563955944,-0.1503718641681966
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.053775254837331365,-0.029468760256336157,-0.04162200754683465
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа",,-0.04943471213385142,-0.05599971414463489,-0.052717213139243824
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа",,-0.11638758333502874,-0.037206573017299016,-0.07679707817616432
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.06657985581259696,-0.04172175813153056,-0.05415080697206476
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.09837433111558713,-0.02986835088444595,-0.06412134100001732
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.05464336337802744,-0.0753619662078564,-0.06500266479294248
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.04758998148487259,-0.08513015339513186,-0.06636006744000322
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.08263986381547284,-0.08983088542088069,-0.08623537461817676
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.05279863272904839,-0.10034477649349105,-0.07657170461127039
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Температура вспышки, С_2-Шаг нашивки",,-0.06864161359675003,-0.05963932384721926,-0.06414046872198542
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.020570103155710173,-0.04021097170603305,-0.03039053743087272
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.06972674927262013,-0.06527980732661942,-0.0675032782996201
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,0.018928835445956915,-0.03537575713198837,-0.008223460843016561
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Поверхностная плотность, г/м2-Шаг нашивки",,-0.007982529315618603,-0.0341095997262737,-0.02104606452094715
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.12137920744403075,-0.0607329781809991,-0.09105609281251537
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.08991027284380149,-0.06805163690480076,-0.07898095487430168
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.06354147592016113,-0.05269924833641171,-0.058120362128287306
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.05583701262148444,-0.00951695013336784,-0.032676981377426695
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Прочность при растяжении, МПа-Шаг нашивки",,-0.061371204568421156,-0.0540584810053375,-0.057714842786879994
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Потребление смолы, г/м2-Шаг нашивки",,-0.08155472813960274,-0.06661733839017159,-0.07408603326488794
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.13635407977103653,-0.06501294454895579,-0.10068351215999649
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.12919218431029456,-0.041084797027836295,-0.08513849066906587
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.0823143231127117,-0.0896199076793125,-0.0859671153960131
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.1274559672289024,-0.07812850380819447,-0.10279223551854944
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Шаг нашивки",,-0.11410879841570187,-0.08851783156459625,-0.10131331499014962
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.05334120056698333,-0.017088675610539283,-0.03521493808876219
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.05735620256770213,-0.06718117926433909,-0.06226869091602161
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.05084538851248244,-0.05976365830709929,-0.05530452340979164
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Шаг нашивки",,0.011766939985215052,-0.025988316955232404,-0.007110688485009953
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.08155472813960252,-0.0625780789735495,-0.07206640355657723
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.07949297035544989,-0.04500413383267077,-0.062248552094061105
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.074609859814035,-0.07404018979555382,-0.07432502480479497
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.06940120856985899,-0.009667071035797337,-0.03953413980282838
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа-Шаг нашивки",,-0.05301565986422241,-0.02538609210641729,-0.03920087598532074
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2-Шаг нашивки",,-0.10141271100802318,-0.06533124475103969,-0.08337197787953199
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.06755647792087993,-0.058658447137620806,-0.06310746252925103
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.06875012716433693,-0.07885431388883668,-0.0738022205265878
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.038691868942738905,-0.03643355566735296,-0.0375627123050466
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Поверхностная плотность, г/м2-Шаг нашивки",,-0.035436461915128836,-0.051560295654247135,-0.04349837878468865
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.08188026884236366,-0.09282876389582873,-0.08735451636909675
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.06994377640779414,-0.048991241565787824,-0.05946750898679176
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.1169301511729639,-0.05652184005568084,-0.0867259956143227
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.10890014717152585,-0.043545629684208276,-0.07622288842786706
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Прочность при растяжении, МПа-Шаг нашивки",,-0.13559448479792735,-0.027882044641013515,-0.08173826471947088
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Потребление смолы, г/м2-Шаг нашивки",,-0.08676337938377854,-0.10217453365983875,-0.0944689565218092
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.09294865273623731,-0.07930667551370352,-0.0861276641249713
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.06147971813600828,-0.03200584874253276,-0.04674278343927141
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.03966849105102188,-0.031673610301732325,-0.03567105067637777
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.03174700061717073,-0.06513072648241147,-0.04843886354979199
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Прочность при растяжении, МПа-Шаг нашивки",,-0.04813254932280753,-0.07144933772527651,-0.059790943524042905
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Потребление смолы, г/м2-Шаг нашивки",,-0.0004950931521154889,-0.028116918667515867,-0.01430600590981701
"Соотношение матрица-наполнитель-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.07450134624644811,-0.0639165993740134,-0.06920897281023186
"Соотношение матрица-наполнитель-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа-Шаг нашивки",,-0.0749354005167957,-0.07584310812506811,-0.07538925432093346
"Соотношение матрица-наполнитель-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2-Шаг нашивки",,-0.1038000094949374,-0.049220080834031066,-0.07651004516448467
"Соотношение матрица-наполнитель-Прочность при растяжении, МПа-Потребление смолы, г/м2-Шаг нашивки",,-0.10933420144187411,-0.006067406288911226,-0.05770080386539289
"Плотность, кг/м3-модуль упругости, ГПа-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.12680488582338056,-0.050300871848705464,-0.08855287883604357
"Плотность, кг/м3-модуль упругости, ГПа-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.017640236830861244,0.007428481992816205,-0.005105877419023408
"Плотность, кг/м3-модуль упругости, ГПа-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.04726444078211167,-0.006293603539561543,-0.026779022160837163
"Плотность, кг/м3-модуль упругости, ГПа-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа",,-0.07037783067814196,-0.04705000407811388,-0.05871391737812859
"Плотность, кг/м3-модуль упругости, ГПа-Количество отвердителя, м.%-Прочность при растяжении, МПа",,-0.1158450154970938,-0.05366101798820955,-0.08475301674265256
"Плотность, кг/м3-модуль упругости, ГПа-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.07363323770575181,0.021417861564812735,-0.02610768807047048
"Плотность, кг/м3-модуль упругости, ГПа-Количество отвердителя, м.%-Шаг нашивки",,-0.020570103155710173,-0.04354801154361376,-0.032059057349662745
"Плотность, кг/м3-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.07949297035544989,-0.056114427340510975,-0.0678036988479811
"Плотность, кг/м3-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.07428431911127387,-0.06330964126530847,-0.06879698018829139
"Плотность, кг/м3-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа",,-0.04433457445726274,-0.005610795524193524,-0.0249726849907288
"Плотность, кг/м3-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа",,-0.08622081154584382,-0.06527567350299157,-0.0757482425244187
"Плотность, кг/м3-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.09218905776312836,-0.02244055425523661,-0.05731480600918326
"Плотность, кг/м3-модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.12452610090405347,-0.020014233983237872,-0.07227016744364623
"Плотность, кг/м3-модуль упругости, ГПа-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.059309446784268305,-0.019977456863253584,-0.03964345182376272
"Плотность, кг/м3-модуль упругости, ГПа-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.08242283668029882,-0.002044604967207375,-0.04223372082375354
"Плотность, кг/м3-модуль упругости, ГПа-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.10021906176456641,-0.002029356472512678,-0.05112420911854032
"Плотность, кг/м3-модуль упругости, ГПа-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.07330769700299089,-0.016266693985670377,-0.04478719549433141
"Плотность, кг/м3-модуль упругости, ГПа-Температура вспышки, С_2-Шаг нашивки",,-0.06039458246013818,-0.012787580036269786,-0.03659108124820509
"Плотность, кг/м3-модуль упругости, ГПа-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.106838389387373,0.005372786302164645,-0.050732801542604844
"Плотность, кг/м3-модуль упругости, ГПа-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.10119568387284938,-0.08668670904287379,-0.09394119645786225
"Плотность, кг/м3-модуль упругости, ГПа-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.04824106289039465,-0.0066794055731349555,-0.02746023423176569
"Плотность, кг/м3-модуль упругости, ГПа-Поверхностная плотность, г/м2-Шаг нашивки",,-0.06408404375809629,-0.017765386342787126,-0.04092471505044226
"Плотность, кг/м3-модуль упругости, ГПа-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.08090364673408068,-0.010485006113788886,-0.04569432642393556
"Плотность, кг/м3-модуль упругости, ГПа-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.12799853506683756,0.024603362857394173,-0.05169758610472236
"Плотность, кг/м3-модуль упругости, ГПа-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.051062415647656456,-0.015072010882221543,-0.03306721326494
"Плотность, кг/м3-модуль упругости, ГПа-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.09099540851967136,0.01767300823206408,-0.036661200143804196
"Плотность, кг/м3-модуль упругости, ГПа-Прочность при растяжении, МПа-Шаг нашивки",,-0.05366674126974447,-0.01760339511006226,-0.035635068189904695
"Плотность, кг/м3-модуль упругости, ГПа-Потребление смолы, г/м2-Шаг нашивки",,-0.07753972613888394,0.005576990239435919,-0.03598136794972506
"Плотность, кг/м3-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.09696365473695634,-0.0651566588003305,-0.08106015676864398
"Плотность, кг/м3-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.08958473214104035,-0.10786331601747023,-0.09872402407925651
"Плотность, кг/м3-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа",,-0.019593481047427197,-0.07338435180651892,-0.04648891642697439
"Плотность, кг/м3-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа",,-0.08198878240995078,-0.09625178486438735,-0.08912028363716973
"Плотность, кг/м3-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.06723093721811901,-0.06075399603597531,-0.06399246662704772
"Плотность, кг/м3-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.03695565186134675,-0.05371683885630896,-0.04533624535882863
"Плотность, кг/м3-Количество отвердителя, м.%-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.04954322570143832,-0.06181263645914847,-0.05567793108029462
"Плотность, кг/м3-Количество отвердителя, м.%-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.05724768900011523,-0.037045156704973436,-0.04714642285254467
"Плотность, кг/м3-Количество отвердителя, м.%-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.03912592321308672,-0.04892763663669131,-0.044026779924890014
"Плотность, кг/м3-Количество отвердителя, м.%-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.03511092121236814,-0.09818096567502854,-0.06664594344369923
"Плотность, кг/м3-Количество отвердителя, м.%-Температура вспышки, С_2-Шаг нашивки",,0.031624922853635606,-0.060482392907755145,-0.014428735027060657
"Плотность, кг/м3-Количество отвердителя, м.%-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.06506066586637926,-0.09996234074961352,-0.08251150330799717
"Плотность, кг/м3-Количество отвердителя, м.%-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.06516917943396594,-0.10348242885488435,-0.08432580414442614
"Плотность, кг/м3-Количество отвердителя, м.%-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.029685242833017877,-0.08885484004646438,-0.05927004143974224
"Плотность, кг/м3-Количество отвердителя, м.%-Поверхностная плотность, г/м2-Шаг нашивки",,-0.043466465916566666,-0.08030671209317775,-0.06188658900487287
"Плотность, кг/м3-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.0038590137473126784,-0.09185508860814351,-0.04785705117772898
"Плотность, кг/м3-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.043357952348979545,-0.10088007975530489,-0.0721190160521431
"Плотность, кг/м3-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.02697240364334319,-0.10619967356545246,-0.06658603860439849
"Плотность, кг/м3-Количество отвердителя, м.%-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.022740374507450145,-0.018488560079246374,-0.020614467293348815
"Плотность, кг/м3-Количество отвердителя, м.%-Прочность при растяжении, МПа-Шаг нашивки",,0.00037301538858036665,-0.04192060494014038,-0.02077379477578084
"Плотность, кг/м3-Количество отвердителя, м.%-Потребление смолы, г/м2-Шаг нашивки",,-0.03445983980684586,-0.08054776888982018,-0.057503804348333465
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.10314892808941534,-0.05133039396742589,-0.07723966102842106
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.035544975482715735,-0.06873035899407953,-0.05213766723839852
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.06527769300155306,-0.057452504490399736,-0.06136509874597673
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.062022285973943214,-0.05832242719865799,-0.06017235658630049
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Шаг нашивки",,-0.07916742965268875,-0.09663261822840608,-0.08790002394054852
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.046179305106241575,-0.10656981207640737,-0.07637455859132514
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.0903443271141493,-0.07400687427066988,-0.08217560069241059
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.03543646191512906,-0.08995341505561227,-0.06269493848537167
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Шаг нашивки",,0.005147612362408127,-0.0800522519749487,-0.03745231980627156
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.020787130290884193,-0.0899308752781367,-0.055359002784511446
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.046070791538654676,-0.02907258397275414,-0.037571687755705296
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа-Шаг нашивки",,0.0025432867403203385,-0.04749573567244947,-0.022476224466066064
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.04183876240276163,0.006037425852329803,-0.01790066827521647
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа-Шаг нашивки",,-0.02132969812881913,-0.07269395959149061,-0.047011828860155314
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2-Шаг нашивки",,-0.08361648592375581,-0.06782106424389389,-0.07571877508382552
"Плотность, кг/м3-Температура вспышки, С_2-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.09826581754800023,-0.03507634053965725,-0.06667107904382918
"Плотность, кг/м3-Температура вспышки, С_2-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.06549472013672708,-0.04151001031461932,-0.053502365225673976
"Плотность, кг/м3-Температура вспышки, С_2-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.05117092921524358,-0.09679598033459302,-0.07398345477491919
"Плотность, кг/м3-Температура вспышки, С_2-Поверхностная плотность, г/м2-Шаг нашивки",,-0.08459310803203879,-0.0597166244177727,-0.07215486622490608
"Плотность, кг/м3-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,0.010898831444519086,-0.01986183491583593,-0.004481501735659255
"Плотность, кг/м3-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.09501041052039039,0.0057139824531377,-0.04464821403362684
"Плотность, кг/м3-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.04976025283661256,-0.05838847036304173,-0.05407436159982815
"Плотность, кг/м3-Температура вспышки, С_2-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.04205578953793565,0.0033365091893858834,-0.019359640174275883
"Плотность, кг/м3-Температура вспышки, С_2-Прочность при растяжении, МПа-Шаг нашивки",,-0.04780700862004661,-0.07566256716044673,-0.06173478789024767
"Плотность, кг/м3-Температура вспышки, С_2-Потребление смолы, г/м2-Шаг нашивки",,-0.02664686294058205,-0.11960353053167716,-0.07312519673613038
"Плотность, кг/м3-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.0543178226752663,-0.04871084247128721,-0.051514332573277866
"Плотность, кг/м3-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.061805258838769195,-0.07382230663438882,-0.0678137827365799
