,Rows,"Угол нашивки, град",Плотность нашивки,"Угол нашивки, град-Плотность нашивки"
"Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.12430907376887967,-0.06104458733534668,-0.09267683055211351
"Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.08611229797825626,-0.11320220550357307,-0.09965725174091544
"Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.0722225613271208,-0.06876609863147154,-0.07049432997929661
"Поверхностная плотность, г/м2-Шаг нашивки",,0.03596546555711533,-0.019433310111252933,0.008266077722930587
"Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.035870516185476875,-0.07733400872094243,-0.056602262453210095
"Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.1300602928509904,-0.0873786889138779,-0.10871949088243471
"Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.040753626726891756,-0.08396864983165875,-0.062361138279275696
"Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.1258282637150976,-0.047714102017909266,-0.08677118286650343
"Прочность при растяжении, МПа-Шаг нашивки",,0.0018922053347982803,-0.08389015610605033,-0.040998975385627245
"Потребление смолы, г/м2-Шаг нашивки",,-0.07330769700299089,-0.06800042999471168,-0.07065406349885195
"Соотношение матрица-наполнитель-Плотность, кг/м3-модуль упругости, ГПа",,-0.06679688294777097,-0.020129353495422553,-0.043463118221597985
"Соотношение матрица-наполнитель-Плотность, кг/м3-Количество отвердителя, м.%",,-0.06516917943396616,-0.055459790570307366,-0.06031448500213743
"Соотношение матрица-наполнитель-Плотность, кг/м3-Содержание эпоксидных групп,%_2",,-0.145469219448344,-0.04766999639539926,-0.09656960792187241
"Соотношение матрица-наполнитель-Плотность, кг/м3-Температура вспышки, С_2",,-0.0863293251134305,-0.06770692743848827,-0.0770181262759605
"Соотношение матрица-наполнитель-Плотность, кг/м3-Поверхностная плотность, г/м2",,-0.014601856938425417,-0.041401621934604727,-0.02800173943651607
"Соотношение матрица-наполнитель-Плотность, кг/м3-Модуль упругости при растяжении, ГПа",,-0.09794027684523954,-0.09467957108546021,-0.09630992396535032
"Соотношение матрица-наполнитель-Плотность, кг/м3-Прочность при растяжении, МПа",,-0.09392527484452029,-0.0414457855410888,-0.06768553019280477
"Соотношение матрица-наполнитель-Плотность, кг/м3-Потребление смолы, г/м2",,-0.08068661959890666,-0.07101486128102819,-0.07585074043996842
"Соотношение матрица-наполнитель-Плотность, кг/м3-Шаг нашивки",,-0.015252938343947475,-0.050691808633272384,-0.032972373488610596
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Количество отвердителя, м.%",,-0.0862208115458436,-0.06518745310876883,-0.07570413232730688
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Содержание эпоксидных групп,%_2",,-0.07450134624644789,-0.06626408276079387,-0.07038271450362132
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Температура вспышки, С_2",,-0.08860811003275759,-0.05290419325510398,-0.07075615164393145
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Поверхностная плотность, г/м2",,-0.10000203462939217,-0.05813511133266602,-0.07906857298103032
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Модуль упругости при растяжении, ГПа",,-0.06234782667670413,-0.10886835823044505,-0.0856080924535757
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Прочность при растяжении, МПа",,-0.19202153994316595,-0.014014520041483403,-0.10301802999232523
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Потребление смолы, г/м2",,-0.0912124356548456,-0.10057892860919981,-0.09589568213202437
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Шаг нашивки",,-0.14991827571941085,-0.06526276128956754,-0.1075905185044902
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.07319918343540399,-0.07453866063802628,-0.07386892203671569
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.11465136625363703,-0.11138610600668253,-0.11301873613016067
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.009393205694249618,-0.06307117763571202,-0.03623219166498182
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа",,-0.07873337538234093,-0.08473411308471168,-0.08173374423352664
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Прочность при растяжении, МПа",,-0.14753097723249708,-0.051961678360026964,-0.09974632779626258
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.12018555820057375,-0.07210287569056262,-0.09614421694556885
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Шаг нашивки",,-0.05746471613528925,-0.06456702378582091,-0.0610158699605553
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.14894165361112788,-0.07426040548818813,-0.11160102954965911
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.08307391808582065,-0.05693323257100058,-0.0700035753284115
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Модуль упругости при растяжении, ГПа",,-0.06527769300155306,-0.09128616519142052,-0.07828192909648735
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа",,-0.10835757933359091,-0.09662854325205905,-0.10249306129282565
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.12767299436407642,-0.07920629232920584,-0.10343964334664157
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.048566603593155344,-0.016354975393985782,-0.03246078949357145
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.05084538851248244,-0.09118539843002904,-0.07101539347125652
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.09642108689902118,-0.1358131135604339,-0.11611710022972865
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.06202228597394299,-0.0896574489598807,-0.07583986746691296
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.05258160559387437,-0.15356873693272233,-0.10307517126329935
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Шаг нашивки",,-0.09718068187213014,-0.061705831510904474,-0.0794432566915183
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.0453111965655455,-0.00902749742539699,-0.02716934699547191
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.06907566786709829,-0.07368038824181022,-0.07137802805445503
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.02664686294058205,-0.03235585037209754,-0.02950135665634046
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Шаг нашивки",,0.021424647500457805,-0.05051958050268235,-0.01454746650111316
"Соотношение матрица-наполнитель-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,-0.09501041052039039,-0.14800790140996467,-0.1215091559651782
"Соотношение матрица-наполнитель-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.0606116095953122,-0.0809167080210027,-0.0707641588081579
"Соотношение матрица-наполнитель-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.11280663560465776,-0.06868132085706868,-0.09074397823086378
"Соотношение матрица-наполнитель-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.07417580554368697,-0.029295678107750023,-0.051735741825719606
