,Rows,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа"
Соотношение матрица-наполнитель,,-0.09361580296197469,-0.13157348626966425,-0.1125946446158188
"Плотность, кг/м3",,-0.16084595981889205,-0.10896140538111587,-0.13490368260000418
"модуль упругости, ГПа",,-0.0619353086279435,-0.1036821047245271,-0.08280870667623574
"Количество отвердителя, м.%",,-0.04643200338682041,-0.05182601650945107,-0.04912900994813585
"Содержание эпоксидных групп,%_2",,-0.07801260573187574,-0.16513110626313932,-0.1215718559975073
"Температура вспышки, С_2",,-0.04491656881954498,-0.13073399473577707,-0.0878252817776608
"Поверхностная плотность, г/м2",,-0.008548077325270187,-0.05452100611878685,-0.03153454172202841
"Потребление смолы, г/м2",,-0.014411455638697612,-0.1390594894888506,-0.07673547256377411
Шаг нашивки,,-0.080822038210689,-0.10586378608690605,-0.09334291214879709
"Угол нашивки, град",,-0.47015819249620283,-0.19124988619027827,-0.33070403934324033
Плотность нашивки,,-0.12666410829185692,-0.11608442352011905,-0.12137426590598788
"Соотношение матрица-наполнитель-Плотность, кг/м3",,-0.07526492776937288,-0.10283003165063653,-0.08904747971000482
"Соотношение матрица-наполнитель-модуль упругости, ГПа",,-0.10813040179204703,-0.16439161941876312,-0.1362610106054052
"Соотношение матрица-наполнитель-Количество отвердителя, м.%",,-0.09024991850391095,-0.11679599272460117,-0.10352295561425617
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2",,-0.0794558401784069,-0.07109252370572161,-0.07527418194206414
"Соотношение матрица-наполнитель-Температура вспышки, С_2",,-0.17567855538698196,-0.0596015801543337,-0.11764006777065739
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2",,-0.16267243492636685,-0.11654921298855125,-0.1396108239574595
"Соотношение матрица-наполнитель-Потребление смолы, г/м2",,-0.09762489062414903,-0.13568234860454775,-0.11665361961434817
Соотношение матрица-наполнитель-Шаг нашивки,,-0.06265173519756928,-0.10185781307112207,-0.0822547741343459
"Соотношение матрица-наполнитель-Угол нашивки, град",,-0.11123294134594408,-0.1301265035167285,-0.12067972243133607
Соотношение матрица-наполнитель-Плотность нашивки,,-0.07165492002693075,-0.15918330733121544,-0.11541911367907365
"Плотность, кг/м3-модуль упругости, ГПа",,-0.0682605746944116,-0.15220485654341998,-0.11023271561891601
