,Rows,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа"
"Плотность, кг/м3-Количество отвердителя, м.%",,-0.047167052233239026,-0.09811810555961564,-0.07264257889642711
"Плотность, кг/м3-Содержание эпоксидных групп,%_2",,-0.09940131148372777,-0.07200027901548567,-0.08570079524960728
"Плотность, кг/м3-Температура вспышки, С_2",,-0.14859173410291904,-0.11718739323125749,-0.13288956366708837
"Плотность, кг/м3-Поверхностная плотность, г/м2",,-0.10730751620697632,-0.08763147758455836,-0.097469496895767
"Плотность, кг/м3-Потребление смолы, г/м2",,-0.044436233159816485,-0.17143147713710483,-0.10793385514846043
"Плотность, кг/м3-Шаг нашивки",,-0.16000296047012608,-0.12040215190570813,-0.1402025561879171
"Плотность, кг/м3-Угол нашивки, град",,-0.11750976486506737,-0.08476783026339096,-0.10113879756422917
"Плотность, кг/м3-Плотность нашивки",,-0.12415448053740019,-0.09464722419120886,-0.10940085236430441
"модуль упругости, ГПа-Количество отвердителя, м.%",,-0.04130958553584807,-0.13382509749979188,-0.08756734151782031
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2",,-0.06316955759618326,-0.10451314262269884,-0.08384135010944138
"модуль упругости, ГПа-Температура вспышки, С_2",,-0.06055412501582125,-0.14414889818875642,-0.10235151160228928
"модуль упругости, ГПа-Поверхностная плотность, г/м2",,-0.06665887519542268,-0.10754642452526553,-0.08710264986034388
"модуль упругости, ГПа-Потребление смолы, г/м2",,-0.09720508188506116,-0.16823202483916888,-0.1327185533621147
"модуль упругости, ГПа-Шаг нашивки",,-0.08041649126834893,-0.13972163561726636,-0.1100690634428082
"модуль упругости, ГПа-Угол нашивки, град",,-0.040538447044393466,-0.1137132103120968,-0.07712582867824491
"модуль упругости, ГПа-Плотность нашивки",,-0.09937753252120007,-0.1077571268280566,-0.10356732967462856
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.06630601543630066,-0.0903122933193925,-0.07830915437784658
"Количество отвердителя, м.%-Температура вспышки, С_2",,-0.11084326551456303,-0.053015022033330306,-0.08192914377394678
"Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.07475038343498763,-0.08602251897904578,-0.08038645120701626
"Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.03609676622808933,-0.09225290301937683,-0.06417483462373275
"Количество отвердителя, м.%-Шаг нашивки",,-0.07664073414105554,-0.11951416735650255,-0.09807745074877905
"Количество отвердителя, м.%-Угол нашивки, град",,-0.027264414707969253,-0.020764810451913585,-0.02401461257994153
"Количество отвердителя, м.%-Плотность нашивки",,-0.03328376605130523,-0.034748330399419824,-0.034016048225362305
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.05168153761956695,-0.102431393934868,-0.07705646577721725
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.01789026505443969,-0.07499391038794423,-0.04644208772119218
"Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.08827481515721791,-0.11869171645272458,-0.10348326580497136
"Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.022023389763337953,-0.127797258275401,-0.07491032401937014
"Содержание эпоксидных групп,%_2-Угол нашивки, град",,-0.05016721533317825,-0.15026140614059802,-0.10021431073688825
"Содержание эпоксидных групп,%_2-Плотность нашивки",,-0.09949553936585809,-0.17137768959154664,-0.13543661447870292
"Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.07401060710970953,-0.07404380290288648,-0.07402720500629789
"Температура вспышки, С_2-Потребление смолы, г/м2",,-0.06154004477490105,-0.10574520622876848,-0.08364262550183521
"Температура вспышки, С_2-Шаг нашивки",,-0.05508705473481279,-0.09798200917279765,-0.07653453195380511
"Температура вспышки, С_2-Угол нашивки, град",,-0.06541572981583821,-0.08690986852611982,-0.07616279917097968
"Температура вспышки, С_2-Плотность нашивки",,-0.13474347637377937,-0.09716208465426468,-0.1159527805140218
"Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.06929452276430514,-0.07324427557385671,-0.07126939916908115
"Поверхностная плотность, г/м2-Шаг нашивки",,-0.1366677740663722,-0.13088478324835462,-0.13377627865736252
"Поверхностная плотность, г/м2-Угол нашивки, град",,-0.04590807481561776,-0.0827220856498847,-0.06431508023275123
"Поверхностная плотность, г/м2-Плотность нашивки",,-0.09951367897193042,-0.098994611235804,-0.09925414510386721
"Потребление смолы, г/м2-Шаг нашивки",,-0.05956336018981245,-0.1594798898200953,-0.10952162500495366
"Потребление смолы, г/м2-Угол нашивки, град",,-0.028229156497649788,-0.14222695139227426,-0.08522805394496236
"Потребление смолы, г/м2-Плотность нашивки",,-0.09598522138760579,-0.08230384487507059,-0.08914453313133797
"Шаг нашивки-Угол нашивки, град",,-0.05150870403323138,-0.058461930490858016,-0.054985317262044586
Шаг нашивки-Плотность нашивки,,-0.08405719554447266,-0.12131578181056235,-0.10268648867751773
"Угол нашивки, град-Плотность нашивки",,-0.16138702671318383,-0.09461541316588806,-0.1280012199395364
"Соотношение матрица-наполнитель-Плотность, кг/м3-модуль упругости, ГПа",,-0.0931035956874704,-0.14663207934791256,-0.11986783751769081
"Соотношение матрица-наполнитель-Плотность, кг/м3-Количество отвердителя, м.%",,-0.0993680186371757,-0.12503174806492545,-0.11219988335105047
"Соотношение матрица-наполнитель-Плотность, кг/м3-Содержание эпоксидных групп,%_2",,-0.15622809573987273,-0.10150947157627832,-0.12886878365807564
"Соотношение матрица-наполнитель-Плотность, кг/м3-Температура вспышки, С_2",,-0.14537768840654786,-0.09804004631341479,-0.1217088673599811
"Соотношение матрица-наполнитель-Плотность, кг/м3-Поверхностная плотность, г/м2",,-0.09978550803420805,-0.057011642176080235,-0.07839857510514403
"Соотношение матрица-наполнитель-Плотность, кг/м3-Потребление смолы, г/м2",,-0.035049517456869905,-0.1289632918371877,-0.08200640464702857
"Соотношение матрица-наполнитель-Плотность, кг/м3-Шаг нашивки",,-0.044970458676360625,-0.10856506055954207,-0.07676775961795135
"Соотношение матрица-наполнитель-Плотность, кг/м3-Угол нашивки, град",,-0.06044135649369542,-0.07854944749795334,-0.06949540199582416
"Соотношение матрица-наполнитель-Плотность, кг/м3-Плотность нашивки",,-0.09124173368384048,-0.07066070654666978,-0.0809512201152548
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Количество отвердителя, м.%",,-0.07059748441932712,-0.15117519187642214,-0.11088633814787496
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Содержание эпоксидных групп,%_2",,-0.12089797392978463,-0.10209785197399657,-0.1114979129518906
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Температура вспышки, С_2",,-0.12294418356538572,-0.13966222129735661,-0.13130320243137172
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Поверхностная плотность, г/м2",,-0.13145488787552617,-0.08270961959310386,-0.10708225373431479
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Потребление смолы, г/м2",,-0.10252315761256048,-0.13805736225758936,-0.1202902599350748
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Шаг нашивки",,-0.1065624564437373,-0.16147626638421886,-0.1340193614139783
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Угол нашивки, град",,-0.027586795952107668,-0.11329143016074972,-0.0704391130564288
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Плотность нашивки",,-0.10195131540589197,-0.12205467700458894,-0.11200299620524046
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.060431806063821814,-0.04345303109974097,-0.0519424185817815
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.11711218310434335,-0.09952177513234339,-0.10831697911834359
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.09692302638207662,-0.1193165065304107,-0.10811976645624377
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.1150620484734366,-0.18949016757971116,-0.15227610802657388
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Шаг нашивки",,-0.08826659217163679,-0.15822293315130542,-0.12324476266147089
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Угол нашивки, град",,-0.034184333422773605,-0.17632354433123276,-0.10525393887700374
"Соотношение матрица-наполнитель-Количество отвердителя, м.%-Плотность нашивки",,-0.0527432121073419,-0.07592972788406827,-0.06433646999570541
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.11375034002048845,-0.07243821713303955,-0.093094278576764
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.17592965048580855,-0.02944918922037898,-0.1026894198530941
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.12909589507494323,-0.1283396464250719,-0.12871777075000734
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.08076452349578966,-0.10835984900621987,-0.09456218625100465
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Угол нашивки, град",,-0.09516519213098906,-0.09722385963695479,-0.09619452588397148
"Соотношение матрица-наполнитель-Содержание эпоксидных групп,%_2-Плотность нашивки",,-0.1628586060418249,-0.12586009756012784,-0.14435935180097548
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.09632320858059118,-0.06080378861048663,-0.07856349859553902
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.13777961103883607,-0.1132440639041612,-0.1255118374714982
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Шаг нашивки",,-0.1388668630843195,-0.13368677461944034,-0.1362768188518798
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Угол нашивки, град",,-0.16578036945606622,-0.08815170859866228,-0.1269660390273637
"Соотношение матрица-наполнитель-Температура вспышки, С_2-Плотность нашивки",,-0.15787529462164063,-0.10756662362963887,-0.13272095912563953
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.13577754044021284,-0.1867817926518045,-0.1612796665460089
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Шаг нашивки",,-0.14973667503775534,-0.0812764379120019,-0.11550655647487795
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Угол нашивки, град",,-0.06351592673438922,-0.08310385781427931,-0.07330989227433415
"Соотношение матрица-наполнитель-Поверхностная плотность, г/м2-Плотность нашивки",,-0.09930136420061064,-0.08263543440729948,-0.0909683993039544
"Соотношение матрица-наполнитель-Потребление смолы, г/м2-Шаг нашивки",,-0.02469419800892858,-0.14230473204157223,-0.08349946502525085
"Соотношение матрица-наполнитель-Потребление смолы, г/м2-Угол нашивки, град",,-0.053109355385435375,-0.12568625794428412,-0.08939780666485997
"Соотношение матрица-наполнитель-Потребление смолы, г/м2-Плотность нашивки",,-0.0919751421908448,-0.0962511430869688,-0.09411314263890624
"Соотношение матрица-наполнитель-Шаг нашивки-Угол нашивки, град",,-0.05734812491845842,-0.13766435451521475,-0.09750623971683658
Соотношение матрица-наполнитель-Шаг нашивки-Плотность нашивки,,-0.11770033835965976,-0.08939499384061889,-0.10354766610013921
"Соотношение матрица-наполнитель-Угол нашивки, град-Плотность нашивки",,-0.06706281937869885,-0.13108011341740755,-0.09907146639805331
"Плотность, кг/м3-модуль упругости, ГПа-Количество отвердителя, м.%",,-0.08680096121255487,-0.14682263984003052,-0.11681180052629259
"Плотность, кг/м3-модуль упругости, ГПа-Содержание эпоксидных групп,%_2",,-0.12621325752750412,-0.14507289870390094,-0.1356430781157031
"Плотность, кг/м3-модуль упругости, ГПа-Температура вспышки, С_2",,-0.06653047830186032,-0.09513297795685194,-0.08083172812935602
"Плотность, кг/м3-модуль упругости, ГПа-Поверхностная плотность, г/м2",,-0.1103490911520828,-0.12392380269577807,-0.1171364469239301
"Плотность, кг/м3-модуль упругости, ГПа-Потребление смолы, г/м2",,-0.09710334157815659,-0.19120906624138168,-0.14415620390976924
"Плотность, кг/м3-модуль упругости, ГПа-Шаг нашивки",,-0.060016852350831096,-0.15274261108589626,-0.10637973171836357
"Плотность, кг/м3-модуль упругости, ГПа-Угол нашивки, град",,-0.025563146675664727,-0.14933881353169998,-0.08745098010368269
"Плотность, кг/м3-модуль упругости, ГПа-Плотность нашивки",,-0.0771976819223239,-0.13392327552575312,-0.10556047872403884
"Плотность, кг/м3-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.0434931997697372,-0.03943796890814988,-0.04146558433894376
"Плотность, кг/м3-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.1019088814045197,-0.10197347596517004,-0.10194117868484476
"Плотность, кг/м3-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.062024112277072385,-0.09847159769807501,-0.08024785498757303
"Плотность, кг/м3-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.08407981724517422,-0.10330187852017203,-0.09369084788267334
"Плотность, кг/м3-Количество отвердителя, м.%-Шаг нашивки",,-0.1111320411036203,-0.14637641959030567,-0.12875423034696243
"Плотность, кг/м3-Количество отвердителя, м.%-Угол нашивки, град",,-0.04531560251820821,-0.0407080767635708,-0.04301183964089028
"Плотность, кг/м3-Количество отвердителя, м.%-Плотность нашивки",,-0.061773096190637755,-0.038904405115019136,-0.05033875065282867
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.09641287664141496,-0.07451563341814538,-0.08546425502977995
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.09568576419477814,-0.05128050853743704,-0.07348313636610704
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.11078004950738385,-0.10467763340587344,-0.10772884145662853
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.1332608863609015,-0.09352220014683832,-0.11339154325386991
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Угол нашивки, град",,-0.08375640571308485,-0.0310057608069767,-0.05738108326003033
"Плотность, кг/м3-Содержание эпоксидных групп,%_2-Плотность нашивки",,-0.09903177249561201,-0.08250314870424291,-0.09076746059992735
"Плотность, кг/м3-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.0381048436359801,-0.09641267782196628,-0.0672587607289733
"Плотность, кг/м3-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.04661371204183662,-0.08926166732534324,-0.0679376896835896
"Плотность, кг/м3-Температура вспышки, С_2-Шаг нашивки",,-0.1086835247239859,-0.11176558852828666,-0.1102245566261364
"Плотность, кг/м3-Температура вспышки, С_2-Угол нашивки, град",,-0.10759972024416453,-0.0946963780370822,-0.10114804914062359
"Плотность, кг/м3-Температура вспышки, С_2-Плотность нашивки",,-0.08047128024544614,-0.08967671665949783,-0.08507399845247232
"Плотность, кг/м3-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.0711101625663848,-0.09000083853468399,-0.08055550055053462
"Плотность, кг/м3-Поверхностная плотность, г/м2-Шаг нашивки",,-0.05535578152775367,-0.10158956633310257,-0.07847267393042823
"Плотность, кг/м3-Поверхностная плотность, г/м2-Угол нашивки, град",,-0.1198388094975984,-0.08150913176391783,-0.10067397063075811
"Плотность, кг/м3-Поверхностная плотность, г/м2-Плотность нашивки",,-0.0775432947911805,-0.06230593217517444,-0.06992461348317736
"Плотность, кг/м3-Потребление смолы, г/м2-Шаг нашивки",,-0.07412022793186668,-0.15860565041307595,-0.11636293917247087
"Плотность, кг/м3-Потребление смолы, г/м2-Угол нашивки, град",,-0.056449705244143944,-0.11706433706442687,-0.08675702115428574
"Плотность, кг/м3-Потребление смолы, г/м2-Плотность нашивки",,-0.04870236587785093,-0.09418256693108895,-0.07144246640446994
"Плотность, кг/м3-Шаг нашивки-Угол нашивки, град",,-0.10160428605546534,-0.13493476539077465,-0.11826952572311966
"Плотность, кг/м3-Шаг нашивки-Плотность нашивки",,-0.072108373739739,-0.1192222064488242,-0.09566529009428126
"Плотность, кг/м3-Угол нашивки, град-Плотность нашивки",,-0.09641014924993252,-0.0576352011983956,-0.0770226752241644
"модуль упругости, ГПа-Количество отвердителя, м.%-Содержание эпоксидных групп,%_2",,-0.032127453536924255,-0.0953741373161836,-0.06375079542655449
"модуль упругости, ГПа-Количество отвердителя, м.%-Температура вспышки, С_2",,-0.06437871953268859,-0.16040697434299744,-0.1123928469378429
"модуль упругости, ГПа-Количество отвердителя, м.%-Поверхностная плотность, г/м2",,-0.08421362973852453,-0.16012287618954857,-0.12216825296403644
"модуль упругости, ГПа-Количество отвердителя, м.%-Потребление смолы, г/м2",,-0.08881882204951497,-0.17375499643245296,-0.1312869092409843
"модуль упругости, ГПа-Количество отвердителя, м.%-Шаг нашивки",,-0.049896664334416974,-0.15990731926633606,-0.10490199180037629
"модуль упругости, ГПа-Количество отвердителя, м.%-Угол нашивки, град",,-0.08763544540443302,-0.10453369941283563,-0.0960845724086341
"модуль упругости, ГПа-Количество отвердителя, м.%-Плотность нашивки",,-0.04102432898489883,-0.08506086848849681,-0.06304259873669793
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.09130910361621147,-0.0984421342212154,-0.09487561891871288
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.04190507717583358,-0.09203473929997519,-0.06696990823790472
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.04718712705401007,-0.11610197840836212,-0.08164455273118554
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.08677307354123287,-0.08428214250500021,-0.08552760802311699
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Угол нашивки, град",,-0.05326839984242371,-0.08429589492846778,-0.06878214738544552
"модуль упругости, ГПа-Содержание эпоксидных групп,%_2-Плотность нашивки",,-0.09171535256746344,-0.04970382365306092,-0.07070958811026218
"модуль упругости, ГПа-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.10697015168252677,-0.10494117635116917,-0.10595566401684775
"модуль упругости, ГПа-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.04609524280904398,-0.1274331692114623,-0.08676420601025292
"модуль упругости, ГПа-Температура вспышки, С_2-Шаг нашивки",,-0.10167018805471106,-0.14362069760915452,-0.12264544283193302
"модуль упругости, ГПа-Температура вспышки, С_2-Угол нашивки, град",,-0.06107492335142717,-0.146682912422063,-0.10387891788674519
"модуль упругости, ГПа-Температура вспышки, С_2-Плотность нашивки",,-0.08242980551779366,-0.1191375053780408,-0.10078365544791723
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.049333485191983106,-0.13553616399372315,-0.09243482459285268
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Шаг нашивки",,-0.09654545474788567,-0.041607870343328024,-0.06907666254560696
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Угол нашивки, град",,-0.05611953650475421,-0.12929745703489748,-0.09270849676982573
"модуль упругости, ГПа-Поверхностная плотность, г/м2-Плотность нашивки",,-0.04712369510794412,-0.05183201999285125,-0.04947785755039791
"модуль упругости, ГПа-Потребление смолы, г/м2-Шаг нашивки",,-0.07321013019382994,-0.1970118138376964,-0.1351109720157625
"модуль упругости, ГПа-Потребление смолы, г/м2-Угол нашивки, град",,-0.03731883874660302,-0.1541361926406053,-0.09572751569360405
"модуль упругости, ГПа-Потребление смолы, г/м2-Плотность нашивки",,-0.1176419361193477,-0.12066311049436518,-0.11915252330685633
"модуль упругости, ГПа-Шаг нашивки-Угол нашивки, град",,-0.05399442893696116,-0.11812931279952155,-0.08606187086824146
"модуль упругости, ГПа-Шаг нашивки-Плотность нашивки",,-0.09623386147456459,-0.12200248215507936,-0.1091181718148222
"модуль упругости, ГПа-Угол нашивки, град-Плотность нашивки",,-0.11552395593785558,-0.12412815653336007,-0.11982605623560783
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Температура вспышки, С_2",,-0.023741536759789295,-0.05590251093625764,-0.0398220238480238
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.03371888925911648,-0.11945303843741151,-0.07658596384826433
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.06750403398349403,-0.12977092166457105,-0.09863747782403265
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.1122647238487382,-0.06741708558647708,-0.08984090471760775
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Угол нашивки, град",,-0.021502567491796576,-0.07611365374374612,-0.04880811061777124
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Плотность нашивки",,-0.06008677532930129,-0.10380720824300727,-0.08194699178615394
"Количество отвердителя, м.%-Температура вспышки, С_2-Поверхностная плотность, г/м2",,0.0033167547405931197,-0.0900135734061891,-0.04334840933279788
"Количество отвердителя, м.%-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.037363723602656496,-0.06275303370796181,-0.050058378655309266
"Количество отвердителя, м.%-Температура вспышки, С_2-Шаг нашивки",,-0.09989872618059814,-0.08451346816426519,-0.09220609717243133
"Количество отвердителя, м.%-Температура вспышки, С_2-Угол нашивки, град",,-0.09598625201345268,-0.06635829301427609,-0.08117227251386472
"Количество отвердителя, м.%-Температура вспышки, С_2-Плотность нашивки",,-0.07605995919182651,-0.014498193137437498,-0.04527907616463167
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.01496953411419577,-0.12094114720822269,-0.0679553406612089
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Шаг нашивки",,-0.08303046349310161,-0.1227374831217185,-0.10288397330741028
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Угол нашивки, град",,-0.07906906579022621,-0.12437887538311698,-0.10172397058667171
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Плотность нашивки",,-0.07207533679098144,-0.08568998087154456,-0.07888265883126355
"Количество отвердителя, м.%-Потребление смолы, г/м2-Шаг нашивки",,-0.05900424834915419,-0.14557292323022164,-0.1022885857896878
"Количество отвердителя, м.%-Потребление смолы, г/м2-Угол нашивки, град",,-0.0935521306693865,-0.15191767236912046,-0.12273490151925337
"Количество отвердителя, м.%-Потребление смолы, г/м2-Плотность нашивки",,-0.09706834606798709,-0.07366460372151784,-0.08536647489475235
"Количество отвердителя, м.%-Шаг нашивки-Угол нашивки, град",,-0.07388457569248241,-0.10258227331875003,-0.08823342450561589
"Количество отвердителя, м.%-Шаг нашивки-Плотность нашивки",,-0.07768848395917294,-0.03995298426492666,-0.058820734112049466
"Количество отвердителя, м.%-Угол нашивки, град-Плотность нашивки",,-0.10115387797318132,-0.09263155313533589,-0.09689271555425827
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.0644068148285799,-0.07844902203260218,-0.07142791843059104
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.11078377357490532,-0.1153464001940625,-0.11306508688448391
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Шаг нашивки",,-0.04335843057130573,-0.06899144735605134,-0.056174938963678644
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Угол нашивки, град",,-0.07498920251782226,-0.0798556919784037,-0.07742244724811276
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Плотность нашивки",,-0.09176040736248892,-0.14123739156185233,-0.11649889946217074
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,0.0036333824106400403,-0.11703093017196098,-0.05669877388066019
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Шаг нашивки",,-0.04261699565732058,-0.12662253425753467,-0.08461976495742829
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Угол нашивки, град",,-0.06297635184497063,-0.06787715654411497,-0.06542675419454247
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Плотность нашивки",,-0.043347375380369035,-0.06672759248391613,-0.05503748393214247
"Содержание эпоксидных групп,%_2-Потребление смолы, г/м2-Шаг нашивки",,-0.05005480429682363,-0.22590451365214936,-0.13797965897448639
"Содержание эпоксидных групп,%_2-Потребление смолы, г/м2-Угол нашивки, град",,-0.09126220853394029,-0.14543642029704396,-0.11834931441549201
"Содержание эпоксидных групп,%_2-Потребление смолы, г/м2-Плотность нашивки",,-0.09662651250132748,-0.0690007726519668,-0.08281364257664714
"Содержание эпоксидных групп,%_2-Шаг нашивки-Угол нашивки, град",,-0.08536289251161344,-0.06595825045291681,-0.0756605714822649
"Содержание эпоксидных групп,%_2-Шаг нашивки-Плотность нашивки",,-0.08767966187431009,-0.15945000415198218,-0.1235648330131458
"Содержание эпоксидных групп,%_2-Угол нашивки, град-Плотность нашивки",,-0.08996918861943959,-0.10793889314256311,-0.09895404088100124
"Температура вспышки, С_2-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.07087119787259066,-0.09461057578220378,-0.08274088682739777
"Температура вспышки, С_2-Поверхностная плотность, г/м2-Шаг нашивки",,-0.08387580306048958,-0.08986168688438312,-0.08686874497243613
