,Rows,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа"
"Поверхностная плотность, г/м2-Шаг нашивки",,-0.0022962733961018333,-0.028863150854286923,-0.015579712125194378
"Поверхностная плотность, г/м2-Угол нашивки, град",,-0.002843117414377039,-0.025075129116555184,-0.013959123265466111
"Поверхностная плотность, г/м2-Плотность нашивки",,-0.00356630194896157,-0.0249549796011983,-0.014260640775080158
"Потребление смолы, г/м2-Шаг нашивки",,0.004898017691477019,-0.02588055823255142,-0.01049127027053709
"Потребление смолы, г/м2-Угол нашивки, град",,0.004728843784919778,-0.022054809994709546,-0.00866298310489505
"Потребление смолы, г/м2-Плотность нашивки",,0.0036328403415478716,-0.02214853590376009,-0.009257847781105943
"Шаг нашивки-Угол нашивки, град",,0.0008815814491264229,-0.027367265522597606,-0.013242842036735702
Шаг нашивки-Плотность нашивки,,-0.00018235285460099782,-0.027633232310079636,-0.013907792582340428
"Угол нашивки, град-Плотность нашивки",,-0.0004017601943921978,-0.02377521779175895,-0.012088488993074908
"Соотношение матрица-наполнитель-Плотность, кг/м3-модуль упругости, ГПа",,-0.012955390283466928,-0.03757337679632977,-0.025264383539898128
"Соотношение матрица-наполнитель-Плотность, кг/м3-Количество отвердителя, м.%",,-0.029614333421435823,-0.007173494041474715,-0.018393913731455047
"Соотношение матрица-наполнитель-Плотность, кг/м3-Содержание эпоксидных групп,%_2",,-0.010347536323976891,-0.02130221094284357,-0.015824873633410008
"Соотношение матрица-наполнитель-Плотность, кг/м3-Температура вспышки, С_2",,-0.026286981259257658,-0.023270339547518004,-0.024778660403387498
"Соотношение матрица-наполнитель-Плотность, кг/м3-Поверхностная плотность, г/м2",,-0.014843534535782688,-0.022306937673669314,-0.018575236104725668
"Соотношение матрица-наполнитель-Плотность, кг/м3-Потребление смолы, г/м2",,-0.007623478351452606,-0.020132672132596285,-0.013878075242024224
"Соотношение матрица-наполнитель-Плотность, кг/м3-Шаг нашивки",,-0.011522338693609857,-0.026535399374356672,-0.019028869033983375
"Соотношение матрица-наполнитель-Плотность, кг/м3-Угол нашивки, град",,-0.012013419465629838,-0.021901444383868762,-0.01695743192474919
"Соотношение матрица-наполнитель-Плотность, кг/м3-Плотность нашивки",,-0.012791234347989011,-0.020823170667405577,-0.01680720250769796
"Соотношение матрица-наполнитель-модуль упругости, ГПа-Количество отвердителя, м.%",,-0.029157462041643045,-0.030454703585044207,-0.029806082813343293
