,Шаг нашивки
"Угол нашивки, град///модуль упругости, ГПа///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.018857822383355316
"Угол нашивки, град///модуль упругости, ГПа///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.030065384752499646
"Угол нашивки, град///Плотность, кг/м3///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.027595187346239225
"Угол нашивки, град///Плотность, кг/м3///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.016704378897973937
"Угол нашивки, град///Плотность, кг/м3///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.03299940465054085
"Угол нашивки, град///Поверхностная плотность, г/м2///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.02004544485741322
"Плотность нашивки///Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Потребление смолы, г/м2",-0.015830442462285932
"Плотность нашивки///Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Соотношение матрица-наполнитель",-0.014381676322878345
"Плотность нашивки///Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа",-0.014071429269515656
"Плотность нашивки///Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///модуль упругости, ГПа",-0.027265000770903214
"Плотность нашивки///Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Плотность, кг/м3",-0.02461373391509425
"Плотность нашивки///Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Поверхностная плотность, г/м2",-0.012671192681011911
"Плотность нашивки///Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Прочность при растяжении, МПа",-0.026920718177682268
"Плотность нашивки///Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Температура вспышки, С_2",-0.018709582983072792
"Плотность нашивки///Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Соотношение матрица-наполнитель",-0.010330750876887285
"Плотность нашивки///Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа",-0.009660688732885614
"Плотность нашивки///Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///модуль упругости, ГПа",-0.022791755913220024
"Плотность нашивки///Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Плотность, кг/м3",-0.020261097282091578
"Плотность нашивки///Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Поверхностная плотность, г/м2",-0.008401453329323738
"Плотность нашивки///Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Прочность при растяжении, МПа",-0.02226257617212779
"Плотность нашивки///Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Температура вспышки, С_2",-0.013332246258999758
"Плотность нашивки///Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа",-0.008358046361259586
"Плотность нашивки///Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///модуль упругости, ГПа",-0.020757965710123116
"Плотность нашивки///Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Плотность, кг/м3",-0.018878941321645915
"Плотность нашивки///Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2",-0.006878607795240965
"Плотность нашивки///Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Прочность при растяжении, МПа",-0.020915418803168162
"Плотность нашивки///Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Температура вспышки, С_2",-0.011701943401482229
"Плотность нашивки///Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.02101445251048384
"Плотность нашивки///Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.017995084371673187
"Плотность нашивки///Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.0061310328400314695
"Плотность нашивки///Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.020453747248601273
"Плотность нашивки///Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.010699004494057807
"Плотность нашивки///Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Плотность, кг/м3",-0.03330540309999952
"Плотность нашивки///Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.019655944942830628
"Плотность нашивки///Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.030102618790814883
"Плотность нашивки///Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Температура вспышки, С_2",-0.023703950202083934
"Плотность нашивки///Содержание эпоксидных групп,%_2///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.01638318236118419
"Плотность нашивки///Содержание эпоксидных групп,%_2///Плотность, кг/м3///Прочность при растяжении, МПа",-0.03201816963504278
"Плотность нашивки///Содержание эпоксидных групп,%_2///Плотность, кг/м3///Температура вспышки, С_2",-0.02078408698262124
"Плотность нашивки///Содержание эпоксидных групп,%_2///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.01901135381139718
"Плотность нашивки///Содержание эпоксидных групп,%_2///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.009621251850384871
"Плотность нашивки///Содержание эпоксидных групп,%_2///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.025112691116159214
"Плотность нашивки///Количество отвердителя, м.%///Потребление смолы, г/м2///Соотношение матрица-наполнитель",-0.011484431315861077
"Плотность нашивки///Количество отвердителя, м.%///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа",-0.011063703913968714
"Плотность нашивки///Количество отвердителя, м.%///Потребление смолы, г/м2///модуль упругости, ГПа",-0.0238096210864569
"Плотность нашивки///Количество отвердителя, м.%///Потребление смолы, г/м2///Плотность, кг/м3",-0.022197486921002874
"Плотность нашивки///Количество отвердителя, м.%///Потребление смолы, г/м2///Поверхностная плотность, г/м2",-0.0098847976011458
"Плотность нашивки///Количество отвердителя, м.%///Потребление смолы, г/м2///Прочность при растяжении, МПа",-0.023485144344167708
"Плотность нашивки///Количество отвердителя, м.%///Потребление смолы, г/м2///Температура вспышки, С_2",-0.016156898650003804
"Плотность нашивки///Количество отвердителя, м.%///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа",-0.009761102241023112
"Плотность нашивки///Количество отвердителя, м.%///Соотношение матрица-наполнитель///модуль упругости, ГПа",-0.02172826756334567
"Плотность нашивки///Количество отвердителя, м.%///Соотношение матрица-наполнитель///Плотность, кг/м3",-0.02078504002320125
"Плотность нашивки///Количество отвердителя, м.%///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2",-0.008301228396985216
"Плотность нашивки///Количество отвердителя, м.%///Соотношение матрица-наполнитель///Прочность при растяжении, МПа",-0.022093206784747244
"Плотность нашивки///Количество отвердителя, м.%///Соотношение матрица-наполнитель///Температура вспышки, С_2",-0.014505177330304653
"Плотность нашивки///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.02229756732443211
"Плотность нашивки///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.02012113867594989
"Плотность нашивки///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.00783139103174224
"Плотность нашивки///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.0217874827164648
"Плотность нашивки///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.013739068804370591
"Плотность нашивки///Количество отвердителя, м.%///модуль упругости, ГПа///Плотность, кг/м3",-0.03508712353032428
"Плотность нашивки///Количество отвердителя, м.%///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.020967346948144838
"Плотность нашивки///Количество отвердителя, м.%///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.03124851965895603
"Плотность нашивки///Количество отвердителя, м.%///модуль упругости, ГПа///Температура вспышки, С_2",-0.026188405519141478
"Плотность нашивки///Количество отвердителя, м.%///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.018510453254182657
"Плотность нашивки///Количество отвердителя, м.%///Плотность, кг/м3///Прочность при растяжении, МПа",-0.034005698038787724
"Плотность нашивки///Количество отвердителя, м.%///Плотность, кг/м3///Температура вспышки, С_2",-0.024124233576482856
"Плотность нашивки///Количество отвердителя, м.%///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.020530297772733075
"Плотность нашивки///Количество отвердителя, м.%///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.012677754548103604
"Плотность нашивки///Количество отвердителя, м.%///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.028168163781665534
"Плотность нашивки///Потребление смолы, г/м2///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа",-0.005379775898285644
"Плотность нашивки///Потребление смолы, г/м2///Соотношение матрица-наполнитель///модуль упругости, ГПа",-0.017356085930601006
"Плотность нашивки///Потребление смолы, г/м2///Соотношение матрица-наполнитель///Плотность, кг/м3",-0.016457619476980545
"Плотность нашивки///Потребление смолы, г/м2///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2",-0.004123257828669846
"Плотность нашивки///Потребление смолы, г/м2///Соотношение матрица-наполнитель///Прочность при растяжении, МПа",-0.017501066480847705
"Плотность нашивки///Потребление смолы, г/м2///Соотношение матрица-наполнитель///Температура вспышки, С_2",-0.009068836434128258
"Плотность нашивки///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.0174617274939044
"Плотность нашивки///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.015573665766422495
"Плотность нашивки///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.0033590902501237085
"Плотность нашивки///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.01697532512174771
"Плотность нашивки///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.008073116760603405
"Плотность нашивки///Потребление смолы, г/м2///модуль упругости, ГПа///Плотность, кг/м3",-0.03033377998277853
"Плотность нашивки///Потребление смолы, г/м2///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.016356431190502452
"Плотность нашивки///Потребление смолы, г/м2///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.026210820107998467
"Плотность нашивки///Потребление смолы, г/м2///модуль упругости, ГПа///Температура вспышки, С_2",-0.020504986094019184
"Плотность нашивки///Потребление смолы, г/м2///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.014207801893889371
"Плотность нашивки///Потребление смолы, г/м2///Плотность, кг/м3///Прочность при растяжении, МПа",-0.029146450493681586
"Плотность нашивки///Потребление смолы, г/м2///Плотность, кг/м3///Температура вспышки, С_2",-0.018690327025463027
"Плотность нашивки///Потребление смолы, г/м2///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.0157286836390651
"Плотность нашивки///Потребление смолы, г/м2///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.007222368723545314
"Плотность нашивки///Потребление смолы, г/м2///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.02208254351863226
"Плотность нашивки///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.01557880614371987
"Плотность нашивки///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.014246787577171904
"Плотность нашивки///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.0019308545896734586
"Плотность нашивки///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.015668664305836355
"Плотность нашивки///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.006543730606693776
"Плотность нашивки///Соотношение матрица-наполнитель///модуль упругости, ГПа///Плотность, кг/м3",-0.028276981217896013
"Плотность нашивки///Соотношение матрица-наполнитель///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.014217697691049747
"Плотность нашивки///Соотношение матрица-наполнитель///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.024285196315727786
"Плотность нашивки///Соотношение матрица-наполнитель///модуль упругости, ГПа///Температура вспышки, С_2",-0.018307225062464294
"Плотность нашивки///Соотношение матрица-наполнитель///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.012795823349031732
"Плотность нашивки///Соотношение матрица-наполнитель///Плотность, кг/м3///Прочность при растяжении, МПа",-0.027836752755000305
"Плотность нашивки///Соотношение матрица-наполнитель///Плотность, кг/м3///Температура вспышки, С_2",-0.01712557718948826
"Плотность нашивки///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.014230684268963678
"Плотность нашивки///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.005519643093894411
"Плотность нашивки///Соотношение матрица-наполнитель///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.02049660640449069
"Плотность нашивки///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Плотность, кг/м3",-0.028306442023319667
"Плотность нашивки///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.014335273292188866
"Плотность нашивки///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.024546510635208074
"Плотность нашивки///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Температура вспышки, С_2",-0.01820762910911844
"Плотность нашивки///Модуль упругости при растяжении, ГПа///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.01175798439528597
"Плотность нашивки///Модуль упругости при растяжении, ГПа///Плотность, кг/м3///Прочность при растяжении, МПа",-0.027170092442113658
"Плотность нашивки///Модуль упругости при растяжении, ГПа///Плотность, кг/м3///Температура вспышки, С_2",-0.015908128996263926
"Плотность нашивки///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.01369681438173731
"Плотность нашивки///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.004388576778386666
"Плотность нашивки///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.019548033279442656
"Плотность нашивки///модуль упругости, ГПа///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.026973538474101444
"Плотность нашивки///модуль упругости, ГПа///Плотность, кг/м3///Прочность при растяжении, МПа",-0.03802654303843633
"Плотность нашивки///модуль упругости, ГПа///Плотность, кг/м3///Температура вспышки, С_2",-0.03063023024131617
"Плотность нашивки///модуль упругости, ГПа///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.02326400177423471
"Плотность нашивки///модуль упругости, ГПа///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.01726699566487433
"Плотность нашивки///модуль упругости, ГПа///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.02854045831114882
"Плотность нашивки///Плотность, кг/м3///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.025365673325093097
"Плотность нашивки///Плотность, кг/м3///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.014785228747782098
"Плотность нашивки///Плотность, кг/м3///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.03109547605763119
"Плотность нашивки///Поверхностная плотность, г/м2///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.018491586515567482
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Потребление смолы, г/м2///Соотношение матрица-наполнитель",-0.014147084000521781
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа",-0.01380542513717442
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Потребление смолы, г/м2///модуль упругости, ГПа",-0.026946221465875775
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Потребление смолы, г/м2///Плотность, кг/м3",-0.024773495096326537
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Потребление смолы, г/м2///Поверхностная плотность, г/м2",-0.012535348421482295
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Потребление смолы, г/м2///Прочность при растяжении, МПа",-0.026625986055907935
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Потребление смолы, г/м2///Температура вспышки, С_2",-0.01896195890206398
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа",-0.012529860728729414
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Соотношение матрица-наполнитель///модуль упругости, ГПа",-0.02487030759364628
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Соотношение матрица-наполнитель///Плотность, кг/м3",-0.02338294168796895
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2",-0.010940764690952065
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Соотношение матрица-наполнитель///Прочность при растяжении, МПа",-0.025250800575631782
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Соотношение матрица-наполнитель///Температура вспышки, С_2",-0.017324493173590527
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.025542748858257136
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.022779494854199278
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.010558963652586906
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.02500694661792302
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.01664882745855456
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///модуль упругости, ГПа///Плотность, кг/м3",-0.03807922212263826
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.02410105452300182
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.03476312074430754
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///модуль упругости, ГПа///Температура вспышки, С_2",-0.029428955538339574
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.021074589365534857
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Плотность, кг/м3///Прочность при растяжении, МПа",-0.03704464702761179
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Плотность, кг/м3///Температура вспышки, С_2",-0.026785031747274646
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.023721961229500543
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.015463414358122485
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.03147635615366351
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа",-0.00829116101808025
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Соотношение матрица-наполнитель///модуль упругости, ГПа",-0.02066627528825049
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Соотношение матрица-наполнитель///Плотность, кг/м3",-0.019200846244036285
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2",-0.0069045238982243795
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Соотношение матрица-наполнитель///Прочность при растяжении, МПа",-0.020824397413834905
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Соотношение матрица-наполнитель///Температура вспышки, С_2",-0.012056620050062028
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.020808703731666656
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.018312203172217156
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.0061673982685639395
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.020294275079584034
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.011083036272051539
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///модуль упругости, ГПа///Плотность, кг/м3",-0.03343491060334425
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.01959477739691473
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.029860229994267407
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///модуль упругости, ГПа///Температура вспышки, С_2",-0.02388836556717555
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.016855827734114426
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Плотность, кг/м3///Прочность при растяжении, МПа",-0.03228944242491205
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Плотность, кг/м3///Температура вспышки, С_2",-0.021471551423376534
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.01902764495149989
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.010118306193169335
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.025530792060190377
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.018975655349989573
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.017052133608004505
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.004769898059759914
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.01905043312249388
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.009608972255293224
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///модуль упругости, ГПа///Плотность, кг/м3",-0.03142171245947645
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.01746148875318987
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.0279670398258145
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///модуль упругости, ГПа///Температура вспышки, С_2",-0.021719094350160395
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.015465386060185438
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Плотность, кг/м3///Прочность при растяжении, МПа",-0.03103556020481424
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Плотность, кг/м3///Температура вспышки, С_2",-0.019948837071855463
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.017543909003084446
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.00842466435316691
"Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.02399034423713431
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Плотность, кг/м3",-0.03145630594205384
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.01762094101621936
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.028239901394649713
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа///Температура вспышки, С_2",-0.02165929737381589
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.014425526827865909
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Плотность, кг/м3///Прочность при растяжении, МПа",-0.030325821112410445
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Плотность, кг/м3///Температура вспышки, С_2",-0.01872380540270857
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.01701210658190866
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.007317373047898368
"Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.023033805233219073
"Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.030002295888729158
"Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Плотность, кг/м3///Прочность при растяжении, МПа",-0.04147329094022645
"Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Плотность, кг/м3///Температура вспышки, С_2",-0.03377686264275437
"Содержание эпоксидных групп,%_2///модуль упругости, ГПа///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.026921163277451088
