,Шаг нашивки
"Угол нашивки, град///Плотность нашивки///Температура вспышки, С_2",-0.010858926413851
"Угол нашивки, град///Содержание эпоксидных групп,%_2///Количество отвердителя, м.%",-0.01711145835075123
"Угол нашивки, град///Содержание эпоксидных групп,%_2///Потребление смолы, г/м2",-0.012772735174655825
"Угол нашивки, град///Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель",-0.011089054155648093
"Угол нашивки, град///Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа",-0.01066131447341312
"Угол нашивки, град///Содержание эпоксидных групп,%_2///модуль упругости, ГПа",-0.024340152291413508
"Угол нашивки, град///Содержание эпоксидных групп,%_2///Плотность, кг/м3",-0.021699397679600496
"Угол нашивки, град///Содержание эпоксидных групп,%_2///Поверхностная плотность, г/м2",-0.009549810536420233
"Угол нашивки, град///Содержание эпоксидных групп,%_2///Прочность при растяжении, МПа",-0.023686491720012137
"Угол нашивки, град///Содержание эпоксидных групп,%_2///Температура вспышки, С_2",-0.01398568928216104
"Угол нашивки, град///Количество отвердителя, м.%///Потребление смолы, г/м2",-0.014172959297719556
"Угол нашивки, град///Количество отвердителя, м.%///Соотношение матрица-наполнитель",-0.012455747280555984
"Угол нашивки, град///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа",-0.012323370446863269
"Угол нашивки, град///Количество отвердителя, м.%///модуль упругости, ГПа",-0.025578400504964405
"Угол нашивки, град///Количество отвердителя, м.%///Плотность, кг/м3",-0.0238865320609134
"Угол нашивки, град///Количество отвердителя, м.%///Поверхностная плотность, г/м2",-0.011227816465306573
"Угол нашивки, град///Количество отвердителя, м.%///Прочность при растяжении, МПа",-0.025152545418008376
"Угол нашивки, град///Количество отвердителя, м.%///Температура вспышки, С_2",-0.01704905295431347
"Угол нашивки, град///Потребление смолы, г/м2///Соотношение матрица-наполнитель",-0.00816889445770519
"Угол нашивки, град///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа",-0.007672028898397576
"Угол нашивки, град///Потребление смолы, г/м2///модуль упругости, ГПа",-0.020830115934788784
"Угол нашивки, град///Потребление смолы, г/м2///Плотность, кг/м3",-0.019296177883631804
"Угол нашивки, град///Потребление смолы, г/м2///Поверхностная плотность, г/м2",-0.006799627032185729
"Угол нашивки, град///Потребление смолы, г/м2///Прочность при растяжении, МПа",-0.020221783870496113
"Угол нашивки, град///Потребление смолы, г/м2///Температура вспышки, С_2",-0.011398044743540225
"Угол нашивки, град///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа",-0.006097216385117399
"Угол нашивки, град///Соотношение матрица-наполнитель///модуль упругости, ГПа",-0.018564345219611145
"Угол нашивки, град///Соотношение матрица-наполнитель///Плотность, кг/м3",-0.017695154415823033
"Угол нашивки, град///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2",-0.005041649648546809
"Угол нашивки, град///Соотношение матрица-наполнитель///Прочность при растяжении, МПа",-0.01858699163884414
"Угол нашивки, град///Соотношение матрица-наполнитель///Температура вспышки, С_2",-0.009505691260349947
"Угол нашивки, град///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.018950746709255117
"Угол нашивки, град///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.0169694312627251
"Угол нашивки, град///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.0044891067587087274
"Угол нашивки, град///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.01831469439883726
"Угол нашивки, град///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.008677408697984168
"Угол нашивки, град///модуль упругости, ГПа///Плотность, кг/м3",-0.03222127946867648
"Угол нашивки, град///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.01801020734693659
"Угол нашивки, град///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.02799974109237402
"Угол нашивки, град///модуль упругости, ГПа///Температура вспышки, С_2",-0.021689549104690897
"Угол нашивки, град///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.01586644527052261
"Угол нашивки, град///Плотность, кг/м3///Прочность при растяжении, МПа",-0.03101602521645197
"Угол нашивки, град///Плотность, кг/м3///Температура вспышки, С_2",-0.01975153596203194
"Угол нашивки, град///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.01723028303378249
"Угол нашивки, град///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.008014146818372536
"Угол нашивки, град///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.022987058719650788
"Плотность нашивки///Содержание эпоксидных групп,%_2///Количество отвердителя, м.%",-0.015824189804902078
"Плотность нашивки///Содержание эпоксидных групп,%_2///Потребление смолы, г/м2",-0.011618959363445924
"Плотность нашивки///Содержание эпоксидных групп,%_2///Соотношение матрица-наполнитель",-0.01015671893935588
"Плотность нашивки///Содержание эпоксидных групп,%_2///Модуль упругости при растяжении, ГПа",-0.009564595524571784
"Плотность нашивки///Содержание эпоксидных групп,%_2///модуль упругости, ГПа",-0.02289746655253766
"Плотность нашивки///Содержание эпоксидных групп,%_2///Плотность, кг/м3",-0.019976829871909185
"Плотность нашивки///Содержание эпоксидных групп,%_2///Поверхностная плотность, г/м2",-0.008172461829162092
"Плотность нашивки///Содержание эпоксидных групп,%_2///Прочность при растяжении, МПа",-0.022277864298743788
"Плотность нашивки///Содержание эпоксидных групп,%_2///Температура вспышки, С_2",-0.012762420665443086
"Плотность нашивки///Количество отвердителя, м.%///Потребление смолы, г/м2",-0.012930809246676223
"Плотность нашивки///Количество отвердителя, м.%///Соотношение матрица-наполнитель",-0.011434840026011361
"Плотность нашивки///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа",-0.0111169246350733
"Плотность нашивки///Количество отвердителя, м.%///модуль упругости, ГПа",-0.02403438381441969
"Плотность нашивки///Количество отвердителя, м.%///Плотность, кг/м3",-0.022078355015262563
"Плотность нашивки///Количество отвердителя, м.%///Поверхностная плотность, г/м2",-0.009802856115625147
"Плотность нашивки///Количество отвердителя, м.%///Прочность при растяжении, МПа",-0.023643675285072163
"Плотность нашивки///Количество отвердителя, м.%///Температура вспышки, С_2",-0.015728793520378925
"Плотность нашивки///Потребление смолы, г/м2///Соотношение матрица-наполнитель",-0.007263262671890258
"Плотность нашивки///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа",-0.006638895716519544
"Плотность нашивки///Потребление смолы, г/м2///модуль упругости, ГПа",-0.019439542213659955
"Плотность нашивки///Потребление смолы, г/м2///Плотность, кг/м3",-0.017621168515278063
"Плотность нашивки///Потребление смолы, г/м2///Поверхностная плотность, г/м2",-0.005464573215460566
"Плотность нашивки///Потребление смолы, г/м2///Прочность при растяжении, МПа",-0.01887223321145881
"Плотность нашивки///Потребление смолы, г/м2///Температура вспышки, С_2",-0.010232891625954199
"Плотность нашивки///Соотношение матрица-наполнитель///Модуль упругости при растяжении, ГПа",-0.005253460218022532
"Плотность нашивки///Соотношение матрица-наполнитель///модуль упругости, ГПа",-0.017365300732909983
"Плотность нашивки///Соотношение матрица-наполнитель///Плотность, кг/м3",-0.016192008182283724
"Плотность нашивки///Соотношение матрица-наполнитель///Поверхностная плотность, г/м2",-0.003905691150798196
"Плотность нашивки///Соотношение матрица-наполнитель///Прочность при растяжении, МПа",-0.01746692329667443
"Плотность нашивки///Соотношение матрица-наполнитель///Температура вспышки, С_2",-0.008545565287640722
"Плотность нашивки///Модуль упругости при растяжении, ГПа///модуль упругости, ГПа",-0.017623717465511834
"Плотность нашивки///Модуль упругости при растяжении, ГПа///Плотность, кг/м3",-0.015361524175958374
"Плотность нашивки///Модуль упругости при растяжении, ГПа///Поверхностная плотность, г/м2",-0.0032079196789103204
"Плотность нашивки///Модуль упругости при растяжении, ГПа///Прочность при растяжении, МПа",-0.017068382602901
"Плотность нашивки///Модуль упругости при растяжении, ГПа///Температура вспышки, С_2",-0.00757575007459943
"Плотность нашивки///модуль упругости, ГПа///Плотность, кг/м3",-0.030335850859328328
"Плотность нашивки///модуль упругости, ГПа///Поверхностная плотность, г/м2",-0.01639217912647495
"Плотность нашивки///модуль упругости, ГПа///Прочность при растяжении, МПа",-0.026426581189203935
"Плотность нашивки///модуль упругости, ГПа///Температура вспышки, С_2",-0.02026923425412619
"Плотность нашивки///Плотность, кг/м3///Поверхностная плотность, г/м2",-0.01389756903297501
"Плотность нашивки///Плотность, кг/м3///Прочность при растяжении, МПа",-0.029031296910180027
"Плотность нашивки///Плотность, кг/м3///Температура вспышки, С_2",-0.018067198060398137
"Плотность нашивки///Поверхностная плотность, г/м2///Прочность при растяжении, МПа",-0.015650147654050484
"Плотность нашивки///Поверхностная плотность, г/м2///Температура вспышки, С_2",-0.006614771972064837
"Плотность нашивки///Прочность при растяжении, МПа///Температура вспышки, С_2",-0.021597610958310254
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Потребление смолы, г/м2",-0.015633326505682943
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Соотношение матрица-наполнитель",-0.014140165531439264
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Модуль упругости при растяжении, ГПа",-0.013906553576541025
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///модуль упругости, ГПа",-0.02721749737137591
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Плотность, кг/м3",-0.024699488163371308
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Поверхностная плотность, г/м2",-0.012497713559510348
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Прочность при растяжении, МПа",-0.026839535613004895
"Содержание эпоксидных групп,%_2///Количество отвердителя, м.%///Температура вспышки, С_2",-0.018581505224792183
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Соотношение матрица-наполнитель",-0.010151678723635316
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Модуль упругости при растяжении, ГПа",-0.009551950872032977
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///модуль упругости, ГПа",-0.02277382824108498
"Содержание эпоксидных групп,%_2///Потребление смолы, г/м2///Плотность, кг/м3",-0.020371019701866944
